Device_Type,Frame_Type,Device_ID,Timestamp(ms),Flags,Length,Data
0x0104,0x1400,13,0.587000,01,08,00000000c0000000
0x0204,0x0080,10,1.369000,01,08,8002000000000000
0x0204,0x0080,14,1.515000,01,08,00000500000d0402
0x0104,0x1400,1,1.807000,01,08,00000000c0000000
0x0104,0x1400,14,2.374000,01,08,00000000c0000000
0x0204,0x1400,15,3.160000,01,08,00004000c0000000
0x0204,0x0080,8,3.470000,01,08,0002000000000000
0x0204,0x0080,13,3.618000,01,08,8002000000000000
0x0204,0x1400,0,3.766000,01,08,00000000c0000000
0x0204,0x0080,2,5.580000,01,08,00000500000a0402
0x0104,0x1400,2,6.286000,01,08,00000000c0000000
0x0104,0x1440,2,6.476000,01,08,0000000000000000
0x0104,0x14c0,2,6.712000,01,08,00000000000000ae
0x0104,0x1700,2,6.905000,01,08,0000000000000000
0x0804,0x1640,20,7.098000,01,06,0000000000000000
0x0104,0x1780,2,7.271000,01,04,0000000000010803
0x0804,0xf900,11,7.380000,01,08,aaaaaaaaaaaabb01
0x0804,0xf940,11,7.594000,01,08,aa0000000001fb06
0x0204,0x0080,15,7.736000,01,08,0000000000000000
0x0804,0x1400,20,8.099000,01,08,0000000000000000
0x0204,0x0080,4,8.817000,01,08,0000000000000000
0x0804,0x1440,20,9.114000,01,08,0000000000000000
0x0804,0x1480,20,10.104000,01,08,56adff0000000000
0x0104,0x1400,13,10.600000,01,08,00000000c0000000
0x0104,0x1440,13,10.788000,01,08,0000000000000000
0x0204,0x0080,10,10.972000,01,08,8002000000000000
0x0104,0x14c0,13,11.118000,01,08,00000000000000ae
0x0804,0x1740,20,11.263000,01,08,0000000000000014
0x0104,0x1700,13,11.612000,01,08,0000000000000000
0x0104,0x1400,1,11.759000,01,08,00000000c0000000
0x0104,0x1780,13,11.906000,01,04,0000000000010803
0x0104,0x1440,1,12.012000,01,08,0000000000000000
0x0204,0x0080,14,12.161000,01,08,00000500000d0402
0x0104,0x14c0,1,12.305000,01,08,00000000000000ae
0x0104,0x1400,14,12.451000,01,08,00000000c0000000
0x0104,0x1440,14,12.663000,01,08,0000000000000000
0x0104,0x1700,1,12.811000,01,08,0000000000000000
0x0104,0x14c0,14,12.959000,01,08,00000000000000af
0x0104,0x1780,1,13.104000,01,04,0000000000010803
0x0204,0x1400,15,13.266000,01,08,00004000c0000000
0x0104,0x1700,14,13.412000,01,08,0000000000000000
0x0204,0x1440,15,13.560000,01,08,0000000000000000
0x0104,0x1780,14,13.707000,01,04,0000000000010803
0x0204,0x1400,0,13.814000,01,08,00000000c0000000
0x0204,0x0080,8,14.183000,01,08,0002000000000000
0x0204,0x0080,13,14.331000,01,08,8002000000000000
0x0204,0x1440,0,14.479000,01,08,0000000000000000
0x0204,0x0080,2,16.269000,01,08,00000500000a0402
0x0104,0x1400,2,16.415000,01,08,00000000c0000000
0x0904,0xf900,12,17.150000,01,08,aaaaaaaaaaaab001
0x0904,0xf940,12,17.450000,01,08,0000034101f01710
0x0204,0x0080,4,18.369000,01,08,0000000000000000
0x0204,0x0080,15,18.518000,01,08,0000000000000000
0x0904,0x1400,30,18.874000,01,08,33bb000064afc000
0x0904,0x1440,30,19.790000,01,03,0000000000000000
0x0204,0x0080,10,20.468000,01,08,8002000000000000
0x0104,0x1400,13,20.614000,01,08,00000000c0000000
0x0204,0x2800,15,20.761000,01,02,0000000000000000
0x0904,0x1480,30,20.850000,01,08,f600000000000000
0x0204,0x0080,14,21.545000,01,08,00000500000d0402
0x0104,0x1400,1,21.689000,01,08,00000000c0000000
0x0104,0x1400,14,22.329000,01,08,00000000c0000000
0x0204,0x1400,15,23.088000,01,08,00004000c0000000
0x0204,0x1400,0,23.417000,01,08,00000000c0000000
0x0204,0x0080,8,23.651000,01,08,0002000000000000
0x0204,0x0080,13,23.799000,01,08,8002000000000000
0x0904,0xf900,12,23.947000,01,08,aaaaaaaaaa050030
0x0004,0x0040,63,25.365000,01,08,81882a57812a0000
0x0204,0x0080,2,25.729000,01,08,00000500000a0402
0x0104,0x1400,2,26.320000,01,08,00000000c0000000
0x0104,0x1440,2,26.522000,01,08,0000000000000000
0x0204,0x0080,15,27.839000,01,08,0000000000000000
0x0904,0xf940,12,28.811000,01,08,0000000000000021
0x0204,0x0080,4,28.957000,01,08,0000000000000000
0x0104,0x1400,13,30.609000,01,08,00000000c0000000
0x0104,0x1440,13,30.811000,01,08,0000000000000000
0x0204,0x0080,10,31.032000,01,08,8002000000000000
0x0804,0x1740,20,31.429000,01,08,0000000000000014
0x0104,0x1400,1,31.713000,01,08,00000000c0000000
0x0104,0x1440,1,31.912000,01,08,0000000000000000
0x0804,0x1640,20,32.110000,01,06,0000000000000000
0x0204,0x0080,14,32.238000,01,08,00000500000d0402
0x0104,0x1400,14,32.382000,01,08,00000000c0000000
0x0104,0x1440,14,32.614000,01,08,0000000000000000
0x0804,0x1400,20,33.127000,01,08,0000000000000000
0x0204,0x1400,15,33.308000,01,08,00004000c0000000
0x0204,0x1400,0,33.466000,01,08,00000000c0000000
0x0204,0x1440,15,33.613000,01,08,0000000000000000
0x0204,0x1440,0,33.760000,01,08,0000000000000000
0x0904,0xf940,12,33.907000,01,08,04060107df061122
0x0804,0x1440,20,34.116000,01,08,0000000000000000
0x0204,0x0080,8,34.264000,01,08,0002000000000000
0x0204,0x0080,13,34.412000,01,08,8002000000000000
0x0804,0x1480,20,35.106000,01,08,56adff0000000000
0x0104,0x1400,2,36.299000,01,08,00000000c0000000
0x0204,0x0080,2,36.447000,01,08,00000500000a0402
0x0204,0x0080,15,37.474000,01,08,0000000000000000
0x0204,0x0080,4,38.530000,01,08,0000000000000000
0x0904,0xf940,12,38.830000,01,08,aaaaaaaaffffff23
0x0204,0x0080,10,40.629000,01,08,8002000000000000
0x0104,0x1400,13,40.775000,01,08,00000000c0000000
0x0104,0x1400,1,41.683000,01,08,00000000c0000000
0x0204,0x0080,14,41.830000,01,08,00000500000d0402
0x0104,0x1400,14,42.324000,01,08,00000000c0000000
0x0204,0x1400,15,43.177000,01,08,00004000c0000000
0x0204,0x1400,0,43.453000,01,08,00000000c0000000
0x0204,0x0080,8,43.821000,01,08,0002000000000000
0x0204,0x0080,13,43.969000,01,08,8002000000000000
0x0904,0x1400,30,44.117000,01,08,4b53000064afc000
0x0904,0x1440,30,44.763000,01,03,0000000000000000
0x0904,0x1480,30,45.773000,01,08,f600000000000000
0x0204,0x0080,2,46.001000,01,08,00000500000a0402
0x0104,0x1400,2,46.359000,01,08,00000000c0000000
0x0104,0x1440,2,46.560000,01,08,0000000000000000
0x0904,0xf900,12,46.822000,01,08,aaaaaaaaaaaabb01
0x0904,0xf940,12,47.087000,01,08,aa0000000001fb06
0x0204,0x0080,15,48.113000,01,08,0000000000000000
0x0204,0x0080,4,49.215000,01,08,0000000000000000
0x0104,0x1400,13,50.554000,01,08,00000000c0000000
0x0104,0x1440,13,50.755000,01,08,0000000000000000
0x0804,0x1740,20,51.173000,01,08,0000000000000014
0x0204,0x0080,10,51.330000,01,08,8002000000000000
0x0204,0x0080,14,51.476000,01,08,00000500000d0402
0x0104,0x1400,1,51.778000,01,08,00000000c0000000
0x0104,0x1440,1,51.979000,01,08,0000000000000000
0x0104,0x1400,14,52.398000,01,08,00000000c0000000
0x0104,0x1440,14,52.600000,01,08,0000000000000000
0x0204,0x1400,15,53.283000,01,08,00004000c0000000
0x0204,0x1400,0,53.443000,01,08,00000000c0000000
0x0204,0x0080,8,53.590000,01,08,0002000000000000
0x0204,0x0080,13,53.738000,01,08,8002000000000000
0x0204,0x1440,0,53.886000,01,08,0000000000000000
0x0204,0x1440,15,54.033000,01,08,0000000000000000
0x0204,0x0080,2,55.550000,01,08,00000500000a0402
0x0104,0x1400,2,56.309000,01,08,00000000c0000000
0x0804,0x1640,20,57.087000,01,06,0000000000000000
0x0204,0x0080,15,57.619000,01,08,0000000000000000
0x0804,0x1400,20,58.102000,01,08,0000000000000000
0x0204,0x0080,4,58.685000,01,08,0000000000000000
0x0804,0x1440,20,59.100000,01,08,0000000000000000
0x0804,0x1480,20,60.102000,01,08,56aeff0000000000
0x0104,0x1400,13,60.650000,01,08,00000000c0000000
0x0204,0x0080,10,60.797000,01,08,8002000000000000
0x0104,0x1400,1,61.696000,01,08,00000000c0000000
0x0204,0x0080,14,61.867000,01,08,00000500000d0402
0x0104,0x1400,14,62.354000,01,08,00000000c0000000
0x0204,0x1400,15,63.160000,01,08,00004000c0000000
0x0204,0x1400,0,63.437000,01,08,00000000c0000000
0x0204,0x0080,8,63.964000,01,08,0002000000000000
0x0204,0x0080,13,64.112000,01,08,8002000000000000
0x0204,0x0080,2,66.073000,01,08,00000500000a0402
0x0104,0x1400,2,66.342000,01,08,00000000c0000000
0x0104,0x1440,2,66.544000,01,08,0000000000000000
0x0004,0x0040,63,66.796000,01,08,cfcd2c6a96290000
0x0204,0x0080,15,68.189000,01,08,0000000000000000
0x0904,0x1400,30,68.846000,01,08,b51d000064afc000
0x0204,0x0080,4,69.266000,01,08,0000000000000000
0x0904,0x1440,30,69.783000,01,03,0000000000000000
0x0104,0x1400,13,70.551000,01,08,00000000c0000000
0x0104,0x1440,13,70.753000,01,08,0000000000000000
0x0904,0x1480,30,70.900000,01,08,f600000000000000
0x0804,0x1740,20,71.130000,01,08,0000000000000014
0x0204,0x0080,10,71.369000,01,08,8002000000000000
0x0204,0x0080,14,71.515000,01,08,00000500000d0402
0x0204,0x2800,15,71.659000,01,02,0000000000000000
0x0104,0x1400,1,71.779000,01,08,00000000c0000000
0x0104,0x1440,1,72.006000,01,08,0000000000000000
0x0104,0x1400,14,72.367000,01,08,00000000c0000000
0x0104,0x1440,14,72.568000,01,08,0000000000000000
0x0204,0x1400,15,73.223000,01,08,00004000c0000000
0x0204,0x1440,15,73.463000,01,08,0000000000000000
0x0204,0x0080,8,73.610000,01,08,0002000000000000
0x0204,0x0080,13,73.758000,01,08,8002000000000000
0x0204,0x1400,0,73.906000,01,08,00000000c0000000
0x0204,0x1440,0,74.433000,01,08,0000000000000000
0x0204,0x0080,2,75.618000,01,08,00000500000a0402
0x0104,0x1400,2,76.287000,01,08,00000000c0000000
0x0204,0x0080,15,77.722000,01,08,0000000000000000
0x0204,0x0080,4,78.812000,01,08,0000000000000000
0x0104,0x1400,13,80.545000,01,08,00000000c0000000
0x0204,0x0080,10,80.904000,01,08,8002000000000000
0x0104,0x1400,1,81.737000,01,08,00000000c0000000
0x0204,0x0080,14,81.993000,01,08,00000500000d0402
0x0804,0x1640,20,82.137000,01,06,0000000000000000
0x0104,0x1400,14,82.410000,01,08,00000000c0000000
0x0804,0x1400,20,83.106000,01,08,0000000000000000
0x0204,0x1400,15,83.254000,01,08,00004000c0000000
0x0204,0x1400,0,83.435000,01,08,00000000c0000000
0x0204,0x0080,8,84.085000,01,08,0002000000000000
0x0204,0x0080,13,84.233000,01,08,8002000000000000
0x0804,0x1440,20,84.381000,01,08,0000000000000000
0x0804,0x1480,20,85.087000,01,08,56adff0000000000
0x0204,0x0080,2,86.185000,01,08,00000500000a0402
0x0104,0x1400,2,86.331000,01,08,00000000c0000000
0x0104,0x1440,2,86.592000,01,08,0000000000000000
0x0204,0x0080,4,88.306000,01,08,0000000000000000
0x0204,0x0080,15,88.455000,01,08,0000000000000000
0x0204,0x0080,10,90.441000,01,08,8002000000000000
0x0104,0x1400,13,90.621000,01,08,00000000c0000000
0x0104,0x1440,13,90.833000,01,08,0000000000000000
0x0804,0x1740,20,91.124000,01,08,0000000000000014
0x0204,0x0080,14,91.547000,01,08,00000500000d0402
0x0104,0x1400,1,91.771000,01,08,00000000c0000000
0x0104,0x1440,1,91.983000,01,08,0000000000000000
0x0104,0x1400,14,92.385000,01,08,00000000c0000000
0x0104,0x1440,14,92.586000,01,08,0000000000000000
0x0204,0x1400,15,93.244000,01,08,00004000c0000000
0x0204,0x1400,0,93.440000,01,08,00000000c0000000
0x0204,0x1440,15,93.587000,01,08,0000000000000000
0x0204,0x0080,8,93.734000,01,08,0002000000000000
0x0204,0x0080,13,93.882000,01,08,8002000000000000
0x0204,0x1440,0,94.030000,01,08,0000000000000000
0x0904,0x1400,30,94.177000,01,08,21b2000064afc000
0x0204,0x16c0,15,94.319000,01,06,0000000000000000
0x0204,0x16c0,0,94.497000,01,06,0000000000000000
0x0204,0x1740,15,94.626000,01,08,0000000000000000
0x0204,0x1740,0,94.773000,01,08,0000000000000000
0x0904,0x1440,30,94.920000,01,03,0000000000000000
0x0204,0x0080,2,95.765000,01,08,00000500000a0402
0x0904,0x1480,30,95.911000,01,08,f600000000000000
0x0104,0x1400,2,96.354000,01,08,00000000c0000000
0x0204,0x0080,15,97.867000,01,08,0000000000000000
0x0204,0x0080,4,98.958000,01,08,0000000000000000
0x0104,0x1400,13,100.587000,01,08,00000000c0000000
0x0204,0x0080,10,101.053000,01,08,8002000000000000
0x0104,0x1400,1,101.706000,01,08,00000000c0000000
0x0204,0x0080,14,102.143000,01,08,00000500000d0402
0x0104,0x1400,14,102.417000,01,08,00000000c0000000
0x0204,0x1400,15,103.198000,01,08,00004000c0000000
0x0204,0x1400,0,103.448000,01,08,00000000c0000000
0x0204,0x0080,8,104.234000,01,08,0002000000000000
0x0204,0x0080,13,104.382000,01,08,8002000000000000
0x0104,0x1400,2,106.313000,01,08,00000000c0000000
0x0204,0x0080,2,106.461000,01,08,00000500000a0402
0x0104,0x1440,2,106.607000,01,08,0000000000000000
0x0104,0x16c0,2,106.812000,01,06,0000000000000000
0x0804,0x1640,20,107.104000,01,06,0000000000000000
0x0104,0x1740,2,107.271000,01,08,0000000000000000
0x0204,0x0080,15,107.487000,01,08,0000000000000000
0x0804,0x1400,20,108.104000,01,08,0000000000000000
0x0004,0x0040,63,108.252000,01,08,6e76e61071290000
0x0204,0x0080,4,108.888000,01,08,0000000000000000
0x0804,0x1440,20,109.107000,01,08,0000000000000000
0x0804,0x1480,20,110.098000,01,08,56adff0000000000
0x0104,0x1400,13,110.632000,01,08,00000000c0000000
0x0104,0x1440,13,110.875000,01,08,0000000000000000
0x0204,0x0080,10,111.022000,01,08,8002000000000000
0x0104,0x16c0,13,111.168000,01,06,0000000000000000
0x0804,0x1740,20,111.297000,01,08,0000000000000014
0x0104,0x1740,13,111.564000,01,08,0000000000000000
0x0104,0x1400,1,111.797000,01,08,00000000c0000000
0x0104,0x1440,1,112.056000,01,08,0000000000000000
0x0204,0x0080,14,112.205000,01,08,00000500000d0402
0x0104,0x16c0,1,112.349000,01,06,0000000000000000
0x0104,0x1400,14,112.479000,01,08,00000000c0000000
0x0104,0x1740,1,112.626000,01,08,0000000000000000
0x0104,0x1440,14,112.775000,01,08,0000000000000000
0x0204,0x1400,15,113.229000,01,08,00004000c0000000
0x0104,0x16c0,14,113.375000,01,06,0000000000000000
0x0204,0x1440,15,113.503000,01,08,0000000000000000
0x0104,0x1740,14,113.650000,01,08,0000000000000000
0x0204,0x1400,0,113.798000,01,08,00000000c0000000
0x0204,0x0080,8,114.237000,01,08,0002000000000000
0x0204,0x0080,13,114.385000,01,08,8002000000000000
0x0204,0x1440,0,114.533000,01,08,0000000000000000
0x0104,0x1400,2,116.244000,01,08,00000000c0000000
0x0204,0x0080,2,116.436000,01,08,00000500000a0402
0x0204,0x0080,15,117.548000,01,08,0000000000000000
0x0204,0x0080,4,118.655000,01,08,0000000000000000
0x0904,0x1400,30,118.846000,01,08,5cfc000064afc000
0x0904,0x1440,30,119.769000,01,03,0000000000000000
0x0104,0x1400,13,120.556000,01,08,00000000c0000000
0x0204,0x0080,10,120.783000,01,08,8002000000000000
0x0204,0x2800,15,120.929000,01,02,0000000000000000
0x0904,0x1480,30,121.018000,01,08,f600000000000000
0x0104,0x1400,1,121.678000,01,08,00000000c0000000
0x0204,0x0080,14,121.841000,01,08,00000500000d0402
0x0104,0x1400,14,122.291000,01,08,00000000c0000000
0x0204,0x1400,15,123.118000,01,08,00004000c0000000
0x0204,0x1400,0,123.476000,01,08,00000000c0000000
0x0204,0x0080,8,123.939000,01,08,0002000000000000
0x0204,0x0080,13,124.087000,01,08,8002000000000000
0x0204,0x0080,2,126.034000,01,08,00000500000a0402
0x0104,0x1400,2,126.299000,01,08,00000000c0000000
0x0104,0x1440,2,126.499000,01,08,0000000000000000
0x0204,0x0080,15,128.139000,01,08,0000000000000000
0x0204,0x0080,4,129.245000,01,08,0000000000000000
0x0104,0x1400,13,130.631000,01,08,00000000c0000000
0x0104,0x1440,13,130.832000,01,08,0000000000000000
0x0804,0x1740,20,131.129000,01,08,0000000000000014
0x0204,0x0080,10,131.323000,01,08,8002000000000000
0x0204,0x0080,14,131.469000,01,08,00000500000d0402
0x0104,0x1400,1,131.720000,01,08,00000000c0000000
0x0104,0x1440,1,131.934000,01,08,0000000000000000
0x0804,0x1640,20,132.111000,01,06,0000000000000000
0x0104,0x1400,14,132.446000,01,08,00000000c0000000
0x0104,0x1440,14,132.648000,01,08,0000000000000000
0x0804,0x1400,20,133.095000,01,08,0000000000000000
0x0204,0x1400,15,133.243000,01,08,00004000c0000000
0x0204,0x0080,8,133.449000,01,08,0002000000000000
0x0204,0x0080,13,133.597000,01,08,8002000000000000
0x0204,0x1400,0,133.745000,01,08,00000000c0000000
0x0204,0x1440,15,133.892000,01,08,0000000000000000
0x0804,0x1440,20,134.128000,01,08,0000000000000000
0x0204,0x1440,0,134.337000,01,08,0000000000000000
0x0804,0x1480,20,135.100000,01,08,56adff0000000000
0x0204,0x0080,2,135.546000,01,08,00000500000a0402
0x0104,0x1400,2,136.281000,01,08,00000000c0000000
0x0204,0x0080,15,137.643000,01,08,0000000000000000
0x0204,0x0080,4,138.733000,01,08,0000000000000000
0x0104,0x1400,13,140.564000,01,08,00000000c0000000
0x0204,0x0080,10,140.785000,01,08,8002000000000000
0x0104,0x1400,1,141.680000,01,08,00000000c0000000
0x0204,0x0080,14,141.877000,01,08,00000500000d0402
0x0104,0x1400,14,142.285000,01,08,00000000c0000000
0x0204,0x1400,15,143.093000,01,08,00004000c0000000
0x0204,0x1400,0,143.500000,01,08,00000000c0000000
0x0904,0x1400,30,143.850000,01,08,bc0e000064afc000
0x0204,0x0080,8,143.993000,01,08,0002000000000000
0x0204,0x0080,13,144.141000,01,08,8002000000000000
